id,display-name,url
1606.stations.xmltv.tvmedia.ca,"FOX (WFLD) Chicago, IL",
4595.stations.xmltv.tvmedia.ca,"ABC (WEEK-TV2) Peoria, IL",www.week.com
4601.stations.xmltv.tvmedia.ca,"NBC (WEEK) Bloomington, IL",www.week.com/
1831.stations.xmltv.tvmedia.ca,"NBC (WMAQ) Chicago, IL",www.nbc5.com/
4599.stations.xmltv.tvmedia.ca,"CBS (WMBD) Central Illinois, IL",www.wmbd.com/
4597.stations.xmltv.tvmedia.ca,"FOX (WYZZ) Bloomington, IL",
4603.stations.xmltv.tvmedia.ca,"Corner Store (WAOE) Central Illinois, IL",
3805.stations.xmltv.tvmedia.ca,"PBS (WILL) Urbana, IL",www.will.uiuc.edu/
4583.stations.xmltv.tvmedia.ca,"PBS (WILL) Urbana, IL HD",www.will.uiuc.edu/
8324.stations.xmltv.tvmedia.ca,"PBS Kids 24/7 (WILL-TV2) Urbana, IL",www.will.uiuc.edu/
4584.stations.xmltv.tvmedia.ca,"Create (WILL-TV3) Urbana, IL",www.will.uiuc.edu/
6188.stations.xmltv.tvmedia.ca,Local Programming,
661.stations.xmltv.tvmedia.ca,Cartoon Network USA - Eastern Feed,
650.stations.xmltv.tvmedia.ca,ESPN2,
594.stations.xmltv.tvmedia.ca,ESPN,
14683.stations.xmltv.tvmedia.ca,QVC,
14985.stations.xmltv.tvmedia.ca,HSN  - Home Shopping Network,www.hsn.com
654.stations.xmltv.tvmedia.ca,Lifetime Network US - Eastern Feed,
32361.stations.xmltv.tvmedia.ca,MC22 (Mediacom Channel 22),
425.stations.xmltv.tvmedia.ca,HLN,Turner.com
70.stations.xmltv.tvmedia.ca,CNN,
649.stations.xmltv.tvmedia.ca,Discovery Channel (US) - Eastern Feed,
61.stations.xmltv.tvmedia.ca,TBS - East,
658.stations.xmltv.tvmedia.ca,Nickelodeon USA - East Feed,
1526.stations.xmltv.tvmedia.ca,The Weather Channel,www.weather.com
1030.stations.xmltv.tvmedia.ca,Paramount Network USA - Eastern Feed,www.spiketv.com
2.stations.xmltv.tvmedia.ca,A&E US - Eastern Feed,www.AETV.com
347.stations.xmltv.tvmedia.ca,TNT - Eastern Feed,
640.stations.xmltv.tvmedia.ca,USA Network - East Feed,
4020.stations.xmltv.tvmedia.ca,NBC Sports Chicago,
621.stations.xmltv.tvmedia.ca,History Channel US - Eastern Feed,www.HistoryChannel.com
663.stations.xmltv.tvmedia.ca,VH1 - Eastern Feed,
656.stations.xmltv.tvmedia.ca,MTV USA - Eastern Feed,
664.stations.xmltv.tvmedia.ca,WE (Women's Entertainment) - Eastern,
645.stations.xmltv.tvmedia.ca,Animal Planet US - East,
